states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Lenovo,244.0,0.025943646996278,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Huawei,230.0,0.024455077086656,state_aggregated
andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.0133579008,Others,916.0,0.09739500265816,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Xiaomi,2303.0,0.244869750132908,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Samsung,1923.0,0.204465709728867,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Vivo,1523.0,0.161935140882509,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Oppo,708.0,0.075279106858054,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,OnePlus,466.0,0.049548112706007,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Realme,465.0,0.049441786283891,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Motorola,319.0,0.03391812865497,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Apple,308.0,0.032748538011695,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Lenovo,244.0,0.025943646996278,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Huawei,230.0,0.024455077086656,state_aggregated
andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0270987509,Others,916.0,0.09739500265816,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Xiaomi,2303.0,0.244869750132908,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Samsung,1923.0,0.204465709728867,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Vivo,1523.0,0.161935140882509,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Oppo,708.0,0.075279106858054,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,OnePlus,466.0,0.049548112706007,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Realme,465.0,0.049441786283891,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Motorola,319.0,0.03391812865497,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Apple,308.0,0.032748538011695,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Lenovo,244.0,0.025943646996278,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Huawei,230.0,0.024455077086656,state_aggregated
andaman-&-nicobar-islands,2018,2,Others,368,359838.50537474576,Others,916.0,0.09739500265816,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Xiaomi,2950.0,0.242818338957938,state_aggregated
